NO,KODE MK,KURIKULUM,PRODI,SMT,NAMA MK,NAMA MK (EN),SKS,SKS_T,SKS_P,SKS_S,SKS_L,PRASYARAT (WAJIB LULUS),PRASYARAT (TEMPUH BERSAMA),PRASYARAT (PERNAH TEMPUH),JENIS MK,KELOMPOK MK,KONSENTRASI,Basic Science,Capstone Design,Integrasi Pembelajaran,Bentuk Integrasi,Bukti Pembelajaran,Link RPS
1,6625321608,66251,66,1,Dasar Telekomunikasi,Telecommunications Policy,2,2,0,0,0,Teknologi Informasi,,,,,,,,,,,
2,6625332615,66251,66,1,Fisika Mekanika,[ENG]Fisika Mekanika,3,2,1,0,0,,,,MKW,MKDK,,y,,,,,
3,6625331620,66251,66,1,Kalkulus,[ENG]Kalkulus,3,3,0,0,0,,,,MKW,MKDK,,y,,,,,
4,6625321637,66251,66,1,Material Teknik Elektro,Electrical Engineering Materials,2,2,0,0,0,,,,,,,,,,,,
5,6625322640,66251,66,1,Pendidikan Agama Buddha,Buddhist Religion Education,2,2,0,0,0,,,,,,,,,,,,
6,6625322641,66251,66,1,Pendidikan Agama Hindu,Hindu Religion Education,0,0,0,0,0,,,,,,,,,,,,
7,6625322642,66251,66,1,Pendidikan Agama Islam,Islamic Religion Education,0,0,0,0,0,,,,,,,,,,,,
8,6625322643,66251,66,1,Pendidikan Agama Katolik,Catholic Religion Education,0,0,0,0,0,,,,,,,,,,,,
9,6625322644,66251,66,1,Pendidikan Agama Konghucu,Confucian Religion Education,0,0,0,0,0,,,,,,,,,,,,
10,6625322645,66251,66,1,Pendidikan Agama Kristen,Christian Religion Education,0,0,0,0,0,,,,,,,,,,,,
11,6625322646,66251,66,1,Pendidikan Kewarganegaraan,Citizenship Education,2,2,0,0,0,,,,,,,,,,,,
12,6625434654,66251,66,1,Rangkaian Listrik Dasar,Basic Electrical Circuit,3,2,1,0,0,Fisika Mekanika,,,,,,,,,,,
13,6625121659,66251,66,1,Teknologi Informasi,Information Technology,2,2,0,0,0,,,,,,,,,,,,
14,6625332655,66251,66,2,Aljabar Linear,[ENG]Aljabar Linear,3,2,1,0,0,Rangkaian Listrik Dasar,,,,,,y,,,,,
15,6625121604,66251,66,2,Bahasa Indonesia,Indonesian Language,2,1,1,0,0,,,,,,,,,,,,
16,6625332607,66251,66,2,Dasar Teknik Tenaga Listrik,Basics of Electrical Power Engineering,3,2,1,0,0,Material Teknik Elektro; Rangkaian Listrik Dasar,,,,,,,,,,,
17,6625332609,66251,66,2,Elektronika Analog,Analog Electronics,3,2,1,0,0,Rangkaian Listrik Dasar,,,,,,,,,,,
18,6625332616,66251,66,2,Fisika Listrik,[ENG]Fisika Listrik,3,2,1,0,0,Fisika Mekanika,,,MKW,MKDK,,y,,,,,
19,6625332619,66251,66,2,Jaringan Komputer,Computer Networks,3,2,1,0,0,Dasar Telekomunikasi,,,,,,,,,,,
20,6625331621,66251,66,2,Persamaan Diferensial,[ENG]Persamaan Diferensial,3,3,0,0,0,Kalkulus,,,,,,y,,,,,
21,6625321601,66251,66,3,Analisa Numerik,Numerical Analysis,2,2,0,0,0,Persamaan Diferensial; Pemrograman Komputer,Probabilitas Statistik,,,,,,,,,,
22,6625331635,66251,66,3,Analisa Vektor,[ENG]Analisa Vektor,3,3,0,0,0,Persamaan Diferensial,,,MKW,MKDK,,y,,,,,
23,6625332611,66251,66,3,Elektronika Digital,Digital Electronics,3,2,1,0,0,,,,,,,,,,,,
24,6625331617,66251,66,3,Fisika Modern,[ENG]Fisika Modern,3,3,0,0,0,Fisika Listrik,,,MKW,MKDK,,y,,,,,
25,6625332639,66251,66,3,Pemrograman Komputer,Computer Programming,3,2,1,0,0,Teknologi Informasi,,,,,,,,,,,
26,6625332650,66251,66,3,Perancangan Sistem Analog,Analogue System Design,3,2,1,0,0,Elektronika Analog; Elektronika Daya; Material Teknik Elektro; Aljabar Linear,Embeded System; Transmisi dan Distribusi,,,,,,,,,,
27,6625431653,66251,66,3,Probabilitas Statistik,Statistical Probability,3,3,0,0,0,,Matematika Diskrit,,,,,y,,,,,
28,6625332610,66251,66,4,Elektronika Daya,Power Electronics,3,2,1,0,0,,Dasar Teknik Tenaga Listrik; Perancangan Sistem Analog,,,,,,,,,,
29,6625331618,66251,66,4,Isyarat dan Sistem,Signals and Systems,3,2,0,1,0,Variabel Kompleks; Pemrograman Komputer,,,,,,,,,,,
30,6625232625,66251,66,4,Komunikasi Data,Data Communication,3,2,1,0,0,Dasar Telekomunikasi; Pemrograman Komputer,,,,,,,,,,,
31,6625331634,66251,66,4,Matematika Diskrit,Discrete Mathematics,3,3,0,0,0,Persamaan Diferensial,,,,,,y,,,,,
32,6625131657,66251,66,4,Sistem Instrumentasi,Instrumentation System,3,2,1,0,0,Fisika Modern,,,,,,,,,,,
33,6625131660,66251,66,4,Transmisi dan Distribusi,Transmission and Distribution,3,2,1,0,0,Dasar Teknik Tenaga Listrik,,,,,,,,,,,
34,6625331636,66251,66,4,Variabel Kompleks,[ENG]Variabel Kompleks,3,3,0,0,0,Analisa Vektor; Pemrograman Komputer,Isyarat dan Sistem,,MKW,MKDK,,y,,,,,
35,6625331602,66251,66,5,Analisa Tenaga Listrik,Electrical Power Analysis,3,2,0,1,0,,,,,,,,,,,,
36,6625332606,66251,66,5,Dasar Sistem Kendali,Basic Control System,3,2,1,0,0,Isyarat dan Sistem,Logika Fuzzy,,,,,,,,,,
37,6625221622,66251,66,5,Ke-PGRI-an,PGRI Studies,2,2,0,0,0,,,,,,,,,,,,
38,6625322626,66251,66,5,Komunikasi Nirkabel,Wireless Communication,2,2,0,0,0,Dasar Telekomunikasi; Komunikasi Data,,,,,Komunikasi dan komputer,,,,,,
39,6625324628,66251,66,5,Kuliah Kerja Lapangan (KKL),Field Work Lecture (KKL),2,0,0,0,2,,,,,,,,,,,,
40,6625332630,66251,66,5,Logika Fuzzy,Fuzzy logic,3,2,1,0,0,,,,,,,,,,,,
41,6625331649,66251,66,5,Pengolahan Isyarat Digital,Digital Signal Processing,3,2,0,1,0,Pemrograman Komputer,,,,,,,,,,,
42,6625331656,66251,66,5,Sensor dan Tranduser,Sensors and Trandusers,3,2,1,0,0,Sistem Instrumentasi,,,,,,,,,,,
43,6625221605,66251,66,6,Bahasa Inggris,English,2,1,1,0,0,,,,,,,,,,,,
44,6625332612,66251,66,6,Embeded System,Embedded System,3,2,1,0,0,Antarmuka dan Arsitektur Komputer; Dasar Sistem Kendali; Elektronika Digital; Sensor dan Tranduser,,,,,,,,,,,
45,6625321614,66251,66,6,Etika Profesi,Professional Ethics,2,2,0,0,0,,,,,,,,,,,,
46,6625332623,66251,66,6,Kecerdasan Buatan,Artificial Intelligence,3,2,0,1,0,6625322601,,,,,,,,,,,
47,6625241624,66251,66,6,Kewirausahaan berbasis Teknologi,Technology-Based Entrepreneurship,4,1,2,0,1,,,,,,,,,,,,
48,6625321633,66251,66,6,Manajemen Proyek dan K3,Project Management and K3,2,2,0,0,0,,,,,,,,,,,,
49,6625321647,66251,66,6,Pendidikan Pancasila,Pancasila Education,2,1,1,0,0,,,,,,,,,,,,
50,6625332651,66251,66,6,PLC,PLC,3,1,2,0,0,Dasar Sistem Kendali; Elektronika Digital; Matematika Diskrit,Sensor dan Tranduser,,,,,,,,,,
51,6625322603,66251,66,7,Antarmuka dan Arsitektur Komputer,Computer Interfaces and Architecture,3,2,1,0,0,Komunikasi Data; Komunikasi Nirkabel,,,,,,,,,,,
52,6625421613,66251,66,7,Energi Terbarukan,Renewable Energy,2,2,0,0,0,,,,,,Energi Terbarukan,,,,,,
53,6625422627,66251,66,7,Konversi Energi,Energy Conversion,2,2,0,0,0,,6625332602; Dasar Teknik Tenaga Listrik,,,,,,,,,,
54,6625421631,66251,66,7,Manajemen Energi dan sistem Hybrid,Energy Management and Hybrid systems,2,2,0,0,0,,,,,,Energi Terbarukan,,,,,,
55,6625421632,66251,66,7,Manajemen Industri,Industrial management,2,0,0,0,2,,,,,,Otomasi Industri,,,,,,
56,6625322648,66251,66,7,Pengolahan Citra,Image Processing,2,2,0,0,0,Pengolahan Isyarat Digital,,,,,Komunikasi dan komputer,,,,,,
57,6625745652,66251,66,7,Praktek Kerja Lapangan (PKL),Field Work Practice (PKL),4,0,0,0,4,,,,,,,,,,,,
58,6625321638,66251,66,7,Rekayasa Teknik Elektro,[ENG]Rekayasa Teknik Elektro,2,2,0,0,0,,,,MKW,MKDK,,,,,,,
59,6625121658,66251,66,7,Teknik Perawatan dan Perbaikan Perangkat Industri,Industrial Device Maintenance and Repair Engineering,2,0,0,0,2,,,,,,Otomasi Industri,,,,,,
60,6625244629,66251,66,8,Kuliah Kerja Nyata (KKN),Community Service Program-Problem Solving in Society,4,0,0,0,4,,,,,,,,,,,,
61,6625765661,66251,66,8,Tugas Akhir,Final Project,6,0,4,0,2,Bahasa Indonesia; Bahasa Inggris; Etika Profesi; Rekayasa Teknik Elektro,,,,,,,,,,,
