Jenis Kegiatan ,Judul Penelitian,Ketua Peneliti,Personil,Tahun,Pendanaan,Roadmap,Sumber,Jenis Sumber,TS,Sesuai Inti,Link Bukti,Link Luaran,Cek Duplikasi,,,,,,Sumber ,"a) Perguruan tinggi
 b) Mandiri",Lembaga dalam negeri (diluar PT),Lembaga Luar Negeri,,Jenis ,Penelitian,PkM
Penelitian,PENGEMBANGAN STADIOMETER DIGITAL UNTUK DETEKSI DINI RISIKO STUNTING PADA ANAK-ANAK USIA DI BAWAH 5 TAHUN,Ganjar Winasis REGULER ( DOSEN PEMULA ),Bambang Hadi Kunaryo;,2025,"Rp7.500.000,00",K3 (IoT Edge & Protokol Industri),LPPM,"a) Perguruan tinggi
 b) Mandiri",TS,V,https://drive.google.com/file/d/16CIEGV9UuBJxwWR0hpmmGQV-0oODQQ4R/view?usp=sharing,https://drive.google.com/file/d/1o_mib4VQnejCsa9-TCwuuCIzWu0v-kae/view?usp=sharing,Unique,,,,,,,,,,,,,
Penelitian,DESAIN SISTEM KENDALI SUHU RUANG PEMANAS DENGAN METODE ULTIMATE CYCLE,Muhammad Amiruddin MANDIRI ( MANDIRI ),Imadudin Harjanto; Bambang Hadi Kunaryo; Affandi Faisal Kurniawan; Sigit Ristanto;,2025,"Rp10.000.000,00",K1 (Sistem Kendali Cerdas PID/Fuzzy),Mandiri,"a) Perguruan tinggi
 b) Mandiri",TS,V,https://drive.google.com/file/d/1-yIr6UR0_ux8IIHkHuYKPspwdsjWuhZy/view?usp=sharing,https://drive.google.com/file/d/1AvExgvbzlsFZTN2SDLswFv4pZUhg6uZJ/view?usp=sharing,Unique,,,,,,,,,,,,,
Penelitian,"DESAIN MODEL FUZZY LOGIC UNTUK PENILAIAN KUALITAS AIR SUMUR BERDASARKAN PARAMETER SALINITAS, PH, DAN KEKERUHAN DI SEMARANG",Agus Mukhtar REGULER ( DOSEN PEMULA ),Aan Burhanudin; Muhammad Amiruddin; Rifki Hermana;,2025,"Rp9.000.000,00",K1 (Sistem Kendali Cerdas PID/Fuzzy Logic dan sesor,LPPM,"a) Perguruan tinggi
 b) Mandiri",TS,V,https://drive.google.com/file/d/11fh328W9IQfg0EDYT8XJ7OIuu5Uo-F49/view?usp=sharing,https://drive.google.com/file/d/1MkoJGEEH2rnSY2_GPxhjTBwk8YHVFY4A/view?usp=sharing,Unique,,,,,,,,,,,,,
Penelitian,PENGELOLAAN BANJIR DENGAN SISTEM POLDER BERBASIS TEKNOLOGI INFORMASI DAN IOT,Ikhwanudin PENELITIAN DESENTRALISASI ( PDUPT ),Farida Yudaningrum; Imadudin Harjanto;,2023,"Rp90.000.000,00",K3 (Embedded System & IoT — instrumentasi sensor presisi),LPPM,"a) Perguruan tinggi
 b) Mandiri",TS-2,V,https://drive.google.com/file/d/1DjAqKTaGqN-g0PG4SiracImXxSXuWaD8/view?usp=sharing,https://drive.google.com/file/d/1VRBKe-9TGF_iyjLGc6wOLA7nS8Hr0J6J/view?usp=sharing,Unique,,,,,,,,,,,,,
Penelitian,DESAIN MULTI-KONVERTER UNTUK PENGATURAN TEGANGAN DC MIKROGRID DENGAN FUZZY LOGIC,Adhi Kusmantoro REGULER ( REG ),Irna Farikhah;,2024,"Rp12.000.000,00",K2 (Smart Grid & Manajemen Energi; PLTS & Konverter Daya),DRTPM,Lembaga dalam negeri (diluar PT),TS-1,V,https://drive.google.com/file/d/1ymp3bm9I283R5RJVb_ylW2CeNr2fGcsN/view?usp=sharing,https://sinta.kemdiktisaintek.go.id/authors/profile/6093223/?view=researches,Unique,,,,,,,,,,,,,
Penelitian,DESAIN BATERAI INVERTER SATU FASA DENGAN KONTROL PI-FUZZY UNTUK PENINGKATAN STABILITAS DAYA AC MIKROGRID,Adhi Kusmantoro,Irna Farikhah;,2023,"Rp218.316.000,00",K2 (Smart Grid & Manajemen Energi; PLTS & Konverter Daya),PENELITIAN KOMPETITIF NASIONAL ( PENELITIAN TERAPAN KOMPETITIF NASIONAL ),Lembaga dalam negeri (diluar PT),TS-2,V,https://drive.google.com/file/d/116vKle-AFiklSJ_q9s6DG9l9SH3zIq5x/view?usp=sharing,https://drive.google.com/file/d/1-B4tUyXFDPaAz2JA5OtWlIkQKkvMqo-j/view?usp=sharing,Unique,,,,,,,,,,,,,
Penelitian,"Studi Pengaruh Jenis, Komposisi, dan Tekanan Gas Kerja Terhadap Kinerja Pembangkit Listrik Termoakustik",IKHSAN SETIAWAN,"AGUNG BAMBANG SETIO, PRASTOWO MURTI UTOMO, IRNA FARIKHAH",2024,"Rp132.060.000,00",K2 (Smart Grid & Manajemen Energi; PLTS & Konverter Daya),,Lembaga dalam negeri (diluar PT),TS-1,V,https://drive.google.com/file/d/1QbJxr-m3vtUuY127d34iYr6MKMxr9k_Q/view?usp=sharing,https://drive.google.com/file/d/1kNYc4_N_lQEG8n-n2VqTu70dI-pn6fLG/view?usp=sharing,Unique,,,,,,,,,,,,,
Penelitian,"KONVERSI ENERGI PANAS MENJADI ENERGI AKUSTIK
 DARI MESIN TERMOAKUSTIK",Irna Farikhah,"Nur Khoiri, Setyoningsih Wibowo,",2025,"Rp24.500.000,00",K2 (Smart Grid & Manajemen Energi; PLTS & Konverter Daya),,"a) Perguruan tinggi
 b) Mandiri",TS,V,https://drive.google.com/file/d/1L7Lk8HgwrsTwdv0GDN0eEPzrGqIqPUep/view?usp=sharing,https://drive.google.com/file/d/1w05oNWsoemL-ZHI67OuilMq839M7ZcCV/view?usp=sharing,Unique,,,,,,,,,,,,,
Penelitian,Pengembangan Peredam Panas Ramah Lingkungan pada Atap Bangunan Berbasis Serat Kelapa,"Dr SLAMET SUPRIYADI, M.Env.St.","Margono, ST., M.Eng; Bambang Hadi Kunaryo, S.T., M.T.; Winda Margaretha; Silfia Dea Ananta; Sisilia Nava Brillian Angelica",2025,"Rp15.000.000,00",,LPPM,"a) Perguruan tinggi
 b) Mandiri",TS-1,,https://drive.google.com/file/d/1VJVi_HPr-Hlok74BpZeQ3FCw9YMJvhOV/view?usp=sharing,,Unique,,,,,,,,,,,,,
Penelitian,Ekstraksi Karagenan Rumput Laut (Gracilaria gigas) Menggunakan Metode Refluks dan Pengaplikasiannya pada Enkapsulan Ekstrak Kulit Buah Manggis (Garcinia mangostana L.),"Dr.Pi Rizky Muliani Dwi Ujianti, S.Pi., M.Si","Althesa Androva, S.T., M.Eng; Bambang Hadi Kunaryo, S.T., M.T.; CARISA ZAHRA AZURA; RIHMA NUR HAYATI; ALIFAH DWI SUSANTI",2024,"Rp12.000.000,00",,LPPM,"a) Perguruan tinggi
 b) Mandiri",TS-1,,https://drive.google.com/file/d/17V-c09gtsemyJFVGrAVTdU70wGLpRzOi/view?usp=sharing,,Unique,,,,,,,,,,,,,
