Judul ,Auhor,Nama Penerbit,Tahun Terbit,TS,Jenis Publikasi,Jenis Luaran,Relevansi  dengan visi keilmuan,PUBLISHER,jumlah sitasi,terindex scopus,Rank SINTA,Keunggulan Dosen,Peran Dosen ,Publikasi Mahasiswa,Cek Duplikasi,Link Bukti,,,,,,,,,,
DC Microgrid Performance Improvement Strategy with DC/AC Coupling Configuration,A Kusmantoro,"Department of Electrical and Information Engineering, Faculty of Engineering JNTETI (UGM)",01 Agustus 2023,TS-3,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,V,JNTETI (Jurnal Nasional Teknik Elektro dan Teknologi Informasi UGM),,Tidak,SINTA 2,,,,Unique,,,,,,,,,,,"Department of Electrical and Information Engineering, Faculty of Engineering JNTETI (UGM)"
Penguatan Keterampilan Abad 21 Melalui Perancangan Alat Peraga Pembelajaran Fisika Berorientasi Merancang Kegiatan Laboratorium-Keterampilan Generik Sains (MKL-KGS):-,"N Khoiri, AF Kurniawan, S Ristanto","Jurnal Pengabdian Dan Peningkatan Mutu Masyarakat (Janayu) 4 (1), 36-43",Maret 2023,TS-3,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,,Jurnal Pengabdian dan Peningkatan Mutu (Janayu),,Tidak,SINTA 5,,,,Unique,,,,,,,,,,,"Jurnal Inovasi Pembelajaran Di Sekolah 4 (2), 712-720"
Power management on DC microgrid with new DC coupling based on fuzzy logic,A Kusmantoro,Indonesian Journal of Electrical Engineering and Computer Science,08 Agustus 2023,TS-3,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,V,Indonesian Journal of Electrical Engineering and Computer Science (IJEECS),,Ya,SINTA 1,Ya,,,Unique,,,,,,,,,,,Indonesian Journal of Electrical Engineering and Computer Science
Practicum Ticker Timer with Inquiry Approach to Improve Student Learning Outcomes,"N Khoiri, S Respayanti, AF Kurniawan, S Ristanto","Jurnal Penelitian Pendidikan IPA 9 (2), 838-842",Februari 2023,TS-3,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,,Jurnal Penelitian Pendidikan IPA,,Tidak,SINTA 2,,,,Unique,,,,,,,,,,,"Jurnal Inovasi Pembelajaran di Sekolah 4 (2), 721-727"
A comprehensive analysis of mask detection using convolutional neural networks (CNN) and single shot multibox detector (SSD) approach,"BK Mukti, M Novita, M Amirudin, SK Singh, I Harjanto, P Bhardwaj, ...",2023 International Conference on Sustainable Emerging Innovations in Engineering and Technology (ICSEIET),14/9/2023,TS-2,Prosiding terindeks Scopus / WoS di seminar internasional / pertemuan himpunan profesi internasional*,Penelitian,V,Int. Conf. on Sustainable Emerging Innovations (ICSEIET),,#N/A,#N/A,#N/A,,Ya,Unique,https://ieeexplore.ieee.org/document/10303567/authors#authors,,,,,,,,,,2023 International Conference on Sustainable Emerging Innovations in Engineering and Technology (ICSEIET)
Analisa Tahanan Isolasi Transformator Daya Unit 2 (30 mva) Berdasarkan Uji Indeks Polarisasi Di PT. PLN Gardu Induk 150 KV Cepu,"GD Prasetyo, A Kusmantoro","Proceeding Science and Engineering National Seminar 8 (1), 164-169",9/1/2024,TS-2,Prosiding di seminar nasional/wilayah,Penelitian,V,Science and Engineering National Seminar (SENS),,Tidak,Prosiding Nasional,,,Ya,Unique,https://conference.upgris.ac.id/index.php/sens/article/view/4998/3798,,,,,,,,,,"Proceeding Science and Engineering National Seminar 8 (1), 164-169"
Analisis Gerak Pesawat Atwood Menggunakan Sensor IR-LED Dan Pengolahan Citra,"A Zaroni, S Ristanto, H Nuroso",Lontar Physics Today,29 Mei 2024,TS-2,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,V,Lontar Physics Today,,Tidak,SINTA 4,,,,Unique,,,,,,,,,,,JURNAL TEKNOLOGI INFORMASI DAN KOMUNIKASI
Analisis keterampilan pengambilan keputusan pada pemecahan masalah fisika peserta didik kelas X SMA N 1 Mranggen,"AC Utami, N Khoiri, J Saefan, S Ristanto","Jurnal Inovasi Pembelajaran di Sekolah 4 (2), 721-727",Desember 2023,TS-2,Jurnal nasional tidak terakreditasi,Penelitian,,Jurnal Inovasi Pembelajaran di Sekolah,,Tidak,Belum Terakreditasi,,,,Unique,,,,,,,,,,,"Seminar Nasional Hasil Penelitian dan Pengabdian Kepada Masyarakat 4, 881-889"
ANALISIS PERBANDINGAN DESAIN PEMBANGKIT TEGANGAN SYSTEM DC TO DC CONVERTER DAN KONVENSIONAL,"Muhammad Amir Maruf Muh Amirudin, Margono",JETI,1/10/2023,TS-2,Jurnal nasional tidak terakreditasi,,,,,,,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/310,,,,,,,,,,Journal of Physics: Conference Series
"ANALISIS PERBANDINGAN DESAIN PEMBANGKIT TEGANGAN SYSTEM DC TO DC CONVERTER DAN KONVENSIONAL: Muhammad Amir Maruf, Muh Amirudin, Margono","MA Maruf, M Amirudin, M Margono","JETI (Jurnal Elektro dan Teknologi Informasi) 2 (2), 1-6",10 Maret 2024,TS-2,Jurnal nasional tidak terakreditasi,Penelitian,V,JETI (Jurnal Elektro dan Teknologi Informasi) UPGRIS,,Tidak,Belum Terakreditasi,,,,Unique,,,,,,,,,,,"JETI (Jurnal Elektro dan Teknologi Informasi) 2 (2), 1-6"
Analisis Validasi e-LKPD berbasis PBL pada Topik Pengukuran Besaran Fisis Kelas X SLTA,"Nur Khoiri, Affandi Faisal Kurniawan, Eka Yulianda Ismawati",Jurnal Penelitian Pembelajaran Fisika,30-Sep-23,TS-2,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,,Jurnal Penelitian Pembelajaran Fisika,,Tidak,SINTA 4,,,,Unique,,,,,,,,,,,J-ADIMAS (Jurnal Pengabdian Kepada Masyarakat)
Computational Analysis of Electrical Impedance Spectroscopy for Margin Tissue Detection in Laparoscopic Liver Resection,"Sulistia Sulistia, Riyanto Riyanto, Pratondo Busono, Affandi Faisal Kurniawan, Joko Saefan, Wawan Kurniawan, Marlin Ramadhan Baidillah",Jurnal Elektronika dan Telekomunikasi,31 Agustus 2024,TS-2,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,V,Jurnal Elektronika dan Telekomunikasi,,Tidak,SINTA 2,,,,Unique,,,,,,,,,,,Thermal Science
Construction and testing of small-scale thermoacoustic electricity generator with different heating power,"I Setiawan, I Farikhah, A Rahmawati","Thermal Science, 50-50",Maret 2024,TS-2,Jurnal internasional,Penelitian,V,Thermal Science,,Ya,Prosiding Internasional terindeks Scopus / IEEE Xplore / Scopus,Ya,,,Unique,,,,,,,,,,,"Jambura Journal of Electrical and Electronics Engineering 7 (1), 82-88"
Coordinated Control of AC Microgrid for Increase Load Power Using Multi-Inverter,A Kusmantoro,2023 International Conference on Electrical and Information Technology (IEIT),14-Sep-23,TS-2,Prosiding terindeks Scopus / WoS di seminar internasional / pertemuan himpunan profesi internasional*,Penelitian,V,International Conference on Electrical and Info. Tech (IEIT),,Ya,Prosiding Internasional terindeks Scopus / IEEE Xplore / Scopus,Ya,,,Unique,,,,,,,,,,,2023 International Conference on Electrical and Information Technology (IEIT)
"Flood Management in the Babon River Watershed, Semarang City","F Yudaningrum, I Harjanto","KnE Social Sciences, 500–507-500–507",12 Maret 2024,TS-2,Jurnal internasional,Penelitian,,KnE Social Sciences,,Tidak,Jurnal Internasional (Non-Scopus),,,,Unique,,,,,,,,,,,"KnE Social Sciences, 500–507-500–507"
Implementation internet of things-based catfish aquaculture to measure water quality and minimize pond waste,"RMD Ujianti, S Wibowo, BH Kunaryo","Community Empowerment 8 (9), 1348-1354",30-Sep-23,TS-2,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,V,Community Empowerment,,Tidak,SINTA 4,,,,Unique,,,,,,,,,,,"Community Empowerment 8 (9), 1348-1354"
Improving the Attitudes and Creative Thinking Skills of Senior High School Students Using an ESD-Enhanced STEM Approach,"DF Aslam, N Khoiri, S Joko Saefan, E Saptaningrum, S Ristanto","Berkala Ilmiah Pendidikan Fisika 12 (2), 177-185",Juni 2024,TS-2,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,,Berkala Ilmiah Pendidikan Fisika,,Tidak,SINTA 2,,,,Unique,,,,,,,,,,,"Jurnal Inovasi Pembelajaran di Sekolah 5 (1), 043-047"
Increased Load Power With Centralized Control of Multiple Microgrid Resources,A Kusmantoro,"KnE Social Sciences, 346–360-346–360",12 Maret 2024,TS-2,Prosiding tidak terindeks di seminar internasional / pertemuan himpunan profesi nasional*,Penelitian,V,KnE Social Sciences,,Tidak,Jurnal Internasional (Non-Scopus),,,,Unique,,,,,,,,,,,"KnE Social Sciences, 346–360-346–360"
Literatur Review: Implementasi Media Pembelajaran Energi Alternatif Berbasis Kincir Angin Bertenaga Surya dengan Pendekatan STEM,"S Ristianti, N Khoiri, J Saefan, S Ristanto","Jurnal Inovasi Pembelajaran di Sekolah 5 (1), 043-047",Juni 2024,TS-2,Jurnal nasional tidak terakreditasi,Penelitian,V,Jurnal Inovasi Pembelajaran di Sekolah,,Tidak,Belum Terakreditasi,,,,Unique,,,,,,,,,,,"Journal of Research in Nanoscience and Nanotechnology 9 (1), 1-12"
Modifikasi Arsitektur Single Shoot Mulibox Detector Untuk Deteksi Penggunaan Masker,Bayu Krisna Mukti -,JETI,1/10/2023,TS-2,Jurnal nasional tidak terakreditasi,,,,,,,,,Ya,Unique,https://journal2.upgris.ac.id/index.php/jeti/article/view/156/187,,,,,,,,,,Asia-Pacific Journal of Science and Technology
Multi-Inverter Coordinated Control on AC Microgrid for Increased Load Power,A Kusmantoro,2023 Sixth International Conference on Vocational Education and Electrical Engineering (ICVEE),14 Oktober 2023,TS-2,Prosiding terindeks Scopus / WoS di seminar internasional / pertemuan himpunan profesi internasional*,Penelitian,V,Int. Conf. on Vocational Education and Elec. Eng. (ICVEE),,Ya,Prosiding Internasional terindeks Scopus / IEEE Xplore / Scopus,Ya,,,Unique,,,,,,,,,,,2023 Sixth International Conference on Vocational Education and Electrical Engineering (ICVEE)
Pelatihan Majalah Dinding Digital Berbasis Web bagi Komunitas Seni Hysteria Semarang,"TI Wardani, A Kusmantoro, I Farikhah, FXD Purwosetiyono","Pelita: Jurnal Pengabdian kepada Masyarakat 4 (2), 60-69",30-Apr-24,TS-2,Jurnal nasional terakreditasi / majalah profesi nasional*,Pengabdian,V,Pelita: Jurnal Pengabdian kepada Masyarakat,,Tidak,SINTA 5,,,,Unique,,,,,,,,,,,"Pelita: Jurnal Pengabdian kepada Masyarakat 4 (2), 60-69"
Pendampingan Digitalisasi Pemasaran Produk UMKM di Desa Banjarejo Kecamatan Boja Kabupaten Kendal,"W Wijayanto, N Cholifah, AR Rozzaqi, BH Kunaryo, S Sudargo","Journal of Digital Community Services 1 (2), 22-27",19 Mei 2024,TS-2,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,V,Journal of Digital Community Services,,Tidak,SINTA 5,,,,Unique,,,,,,,,,,,"Journal of Digital Community Services 1 (2), 22-27"
Pendekatan Neural Network pada Gerak Unstretch Bungee Jumping Menggunakan Metode Euler,"Tika Wahyuni, Fardika Armawanto, Diah Ayu Faradita, Nur Khoiri, Affandi Faisal Kurniawan, Joko Saefan",Lontar Physics Today,1 Desember 2023,TS-2,Jurnal nasional terakreditasi / majalah profesi nasional*,Penelitian,,Lontar Physics Today,,Tidak,SINTA 4,,,,Unique,,,,,,,,,,,Sādhanā
Pengembangan e-lkpd berbasis problem based learning untuk meningkatkan kemampuan pengambilan keputusan peserta didik,"EY Ismawati, N Khoiri, J Saefan, S Ristanto, HA Prakosa, S Ristianti","Jurnal Inovasi Pembelajaran Di Sekolah 4 (2), 712-720",Desember 2023,TS-2,Jurnal nasional tidak terakreditasi,Penelitian,V,Jurnal Inovasi Pembelajaran di Sekolah,,Tidak,Belum Terakreditasi,,,,Unique,,,,,,,,,,,"Berkala Ilmiah Pendidikan Fisika 12 (2), 177-185"
Pengenalan Photovoltaik (PV) Dalam Sistem PLTS di SD Negeri Kalibanteng Kulon 01 Semarang,"A Kusmantoro, TI Wardani, I Farikhah","Seminar Nasional Hasil Penelitian dan Pengabdian Kepada Masyarakat 4, 860-871",29 Desember 2023,TS-2,Prosiding di seminar nasional/wilayah,Pengabdian,V,Seminar Nasional Hasil Penelitian dan Pengabdian (SNHP),,Tidak,Prosiding Nasional,,,,Unique,,,,,,,,,,,"Seminar Nasional Hasil Penelitian dan Pengabdian Kepada Masyarakat 4, 860-871"
Pengenalan PLTS Sebagai Pembangkit Listrik Energi Terbarukan Bagi Siswa dan Guru SD Negeri Kalibanteng Kulon 01 Semarang,"A Kusmantoro, I Farikhah, TI Wardani","J-ADIMAS (Jurnal Pengabdian Kepada Masyarakat) 12 (1), 37-42",24 Juli 2024,TS-2,Jurnal nasional terakreditasi / majalah profesi nasional*,Pengabdian,V,J-ADIMAS (Jurnal Pengabdian Kepada Masyarakat),,Tidak,SINTA 5,,,,Unique,,,,,,Jurnal internasional bereputasi / majalah profesi internasional*,,,,,"J-ADIMAS (Jurnal Pengabdian Kepada Masyarakat) 12 (1), 37-42"
PENGUATAN KARYA ILMIAH REMAJA (KIR) SISWA MAN 1 KOTA SEMARANG,"S Ristanto, N Khoiri, AF Kurniawan, J Saefan","Seminar Nasional Hasil Penelitian dan Pengabdian Kepada Masyarakat 4, 881-889",Desember 2023,TS-2,Prosiding di seminar nasional/wilayah,Pengabdian,,Seminar Nasional Hasil Penelitian dan Pengabdian (SNHP),,Tidak,Prosiding Nasional,,,,Unique,,,,,,,,,,,"Lontar Physics Today 3 (2), 055-063"
