Lokasi/Ruangan,Nama Barang,Merk/Tipe/Ukuran,Jumlah,Satuan,Kondisi (Baik/Rusak),Status Aset,Link
Lab Pengukuran dan Kendali,Digital Multimeter Sanwa CD800a,Sanwa CD800a,7,Unit,Baik,Aktif,
Lab Sistem Digital,Digital Multimeter Sanwa CD800a,Sanwa CD800a,7,Unit,Baik,Aktif,
Lab Tenaga,Digital Multimeter Sanwa CD800a,Sanwa CD800a,7,Unit,Baik,Aktif,
Lab Pengukuran dan Kendali,Analog Multimeter Sanwa YX360TRF,Sanwa YX360TRF,2,Unit,Baik,Aktif,
Lab Tenaga,Digital Clamp Meter Sanwa DCM400,Sanwa DCM400,3,Unit,Baik,Aktif,
Lab Pengukuran dan Kendali,Digital Tachometer Sanwa SE300,Sanwa SE300,1,Unit,Baik,Aktif,
Lab Tenaga,Digital Tachometer Sanwa SE300,Sanwa SE300,2,Unit,Baik,Aktif,
Lab pengukuran dan Kendali,Digital Tachometer Sanwa SE200,Sanwa SE200,1,Unit,Baik,Aktif,
Lab Tenaga,Digital Tachometer Sanwa SE200,Sanwa SE200,1,Unit,Baik,Aktif,
Lab Tenaga,Solar Power Meter SM206-SOLAR,SM206,1,Unit,Baik,Aktif,
Lab Tenaga,Illuminance Meter Sanwa LX20,Sanwa LX20,1,Unit,Baik,Aktif,
Lab Tenaga,EMF Field Tester Lutron EMF-827,Lutron EMF-827,1,Unit,Baik,Aktif,
Lab Tenaga,Digital LCR Meter Dekko L-4070D,Dekko L-4070D,1,Unit,Baik,Aktif,
Lab Pengukuran dan Kendali,Digital LCR Meter Sanwa LCR700,Sanwa LCR700,1,Unit,Baik,Aktif,
Lab Pengukuran dan Kendali,DC Power Supply Yihua 1502D+,Yihua 1502D+,8,Unit,Baik,Aktif,
Lab Digital,DC Power Supply Yihua 1502D+,Yihua 1502D+,8,Unit,Baik,Aktif,
Lab Mekatronika,DC Power Supply Yihua 1502D+,Yihua 1502D+,2,Unit,Baik,Aktif,
Lab Tenaga,DC Power Supply Sanfix SP-6010,Sanfix SP-6010,2,Unit,Baik,Aktif,
Lab Pengukuran dan Kendali,DC Power Supply LW-K3010D,LW-K3010D,2,Unit,Baik,Aktif,
Lab Digital,DC Power Suplly LW-K3010D,LW-K3010D,2,Unit,Baik,Aktif,
Lab Mekatronika,DC Power Supply LW-K3010D,LW-K3010D,2,Unit,Baik,Aktif,
Lab Tenaga,DC Power Supply LW-K3010D,LW-K3010D,1,Unit,Baik,Aktif,
Lab Tenaga,AC Voltage Regulator TDGC-2000,TDGC-2000,2,Unit,Baik,Aktif,
Lab Tenaga,AC Voltage Regulator TDGC-500,TDGC-500,4,Unit,Baik,Aktif,
Lab Digital,Mini PC KIT NUC6CAYH,NUC6CAYH,1,Unit,Baik,Aktif,
Lab Tenaga,Digital Watt Meter DW-6080,DW-6080,1,Unit,Baik,Aktif,
Lab Pengukuran dan Kendali,Thermal Imaging Camera GTC 400C,GTC 400C,1,Unit,Baik,Aktif,
Lab Pengukuran dan Kendali,Function Generator Sanfix SFG-205,Sanfix SFG-205,5,Unit,Baik,Aktif,
Lab Pengukuran dan Kendali,Frequency Counter GW GFC-8010H,GW GFC-8010H,1,Unit,Baik,Aktif,
Lab Pengukuran dan Kendali,Oscilloscope Analog Sanfix SOS-620,Sanfix SOS-620,3,Unit,Baik,Aktif,
Lab Digital,Oscilloscope Digital Hantek DSO4254B,Hantex DSO4254B,7,Unit,Baik,Aktif,
Lab Pengukuran dan Kendali,Oscilloscope Digital Hantex DSO2D10,Hantex DSO2D10,6,Unit,Baik,Aktif,
Lab Tenaga,Digital Clamp Meter XN-266,XN-266,1,Unit,Baik,Aktif,
Lab Tenaga,Digital Clamp Meter ANENG CM84,ANENG CM84,1,Unit,Baik,Aktif,
Lab Pengukuran dan Kendali,Digital Tesla Meter AMST-5,AMST-5,1,Unit,Baik,Aktif,
Lab Tenaga,Motor Overload Protection Scheneider,Scheneider,2,Unit,Baik,Aktif,
Lab Pengukuran dan Kendali,Modul PLC Mitsubishi 1,Mitsubishi ,1,Set,Baik,Aktif,
Lab Pengukuran dan Kendali,Modul PLC Mitsubishi 2,Mitsubishi ,1,Set,Baik,Aktif,
Lab Pengukuran dan Kendali,Modul Prototype Lift,-,1,Set,Baik,Aktif,
Lab Pengukuran dan Kendali,Modul Conveyor,-,1,Set,Baik,Aktif,
Lab Pengukuran dan Kendali,Modul PLC,-,4,Set,Baik,Aktif,
Lab Tenaga,Modul Praktikum Rangkaian Listrik,-,1,Set,Baik,Aktif,
Lab Pengukuran dan Kendali,Modul Elektronika Analog,-,1,Set,Baik,Aktif,
Lab Digital,Modul Digital Trainer,-,1,Set,Baik,Aktif,
Lab Komputer Elektro,Komputer Lenovo,Lenovo,11,Set,Baik,Aktif,
Lab Komputer Elektro,Komputer ROG,ROG,1,Set,Baik,Aktif,
Lab Komputer 303,Komputer ,,30,Set,Baik,Aktif,
Lab Komputer 304,Komputer ,,18,Set,Baik,Aktif,
Lab Komputer 305,Komputer ,,30,Set,Baik,Aktif,
Lab Pengukuran Kendali,AC 1.5 PK,Daikin,2,Unit,Baik,Aktif,
Lab Digital ,AC 1.5 PK,Daikin,2,Unit,Baik,Aktif,
Lab Tenaga,AC 1.5 PK,Daikin,2,Unit,Baik,Aktif,
Lab Mekatronika,AC 1.5 PK,Daikin,2,Unit,Baik,Aktif,
Lab Komputer 303,AC 1.5 PK,Daikin,2,Unit,Baik,Aktif,
Lab Komputer 304,AC 1.5 PK,Daikin,2,Unit,Baik,Aktif,
Lab Komputer 305,AC 1.5 PK,Daikin,2,Unit,Baik,Aktif,
Lab Pengukuran Kendali,Meja,-,16,Unit,Baik,Aktif,
Lab Tenaga,Meja,-,6,Unit,Baik,Aktif,
Lab Digital ,Meja Panjang Komputer,-,4,Unit,Baik,Aktif,
Lab Digital ,Meja Besar Kotak,-,1,Unit,Baik,Aktif,
Lab Mekatronika,Meja,-,,Unit,Baik,Aktif,
Lab Komputer 303,Meja,-,15,Unit,Baik,Aktif,
Lab Komputer 304,Meja,-,9,Unit,Baik,Aktif,
Lab Komputer 305,Meja,-,15,Unit,Baik,Aktif,
Lab Pengukuran Kendali,Kursi Kayu,Chitose,32,Unit,Baik,Aktif,
Lab Tenaga,Kursi Kayu,Chitose,12,Unit,Baik,Aktif,
Lab Digital ,Kursi Hijau,Chitose,8,Unit,Baik,Aktif,
Lab Digital ,Kursi Hijau,Chitose,10,Unit,Baik,Aktif,
Lab Mekatronika,Kursi Hijau,Chitose,,Unit,Baik,Aktif,
Lab Komputer 303,Kursi ,-,30,Unit,Baik,Aktif,
Lab Komputer 304,Kursi ,-,18,Unit,Baik,Aktif,
Lab Komputer 305,Kursi ,-,30,Unit,Baik,Aktif,
Lab Pengukuran dan Kendali,LCD Proyektor,-,1,Unit,Baik,Aktif,
Lab Tenaga,TV 65 Inch,-,1,Unit,Baik,Aktif,
Lab Komputer 303,TV ,-,1,Unit,Baik,Aktif,
Lab Komputer 304,TV,-,1,Unit,Baik,Aktif,
Lab Komputer 305,TV,-,1,Unit,Baik,Aktif,
Lab Pengukuran dan Kendali,Papan Tulis,-,1,Unit,Baik,Aktif,
Lab Digital,Papan Tulis,-,1,Unit,Baik,Aktif,
Lab Pengukuran dan Kendali,Lemari Besi ,-,1,Unit,Baik,Aktif,
