File/Folder Name;Path;Type;URL;Size (bytes);Created Time
RPS;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS;Directory;https://drive.google.com/drive/folders/1hCJR2aUOhRx8VVMEog5iEDx6xZvig3yt;;2026-06-13T08:47:45.225Z
RPS;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS;Directory;https://drive.google.com/drive/folders/1ydpJwZlxOGmy-urj3hbM4lfFpXjVZemq;;2026-06-23T04:57:08.540Z
RPS_Elektronika Daya.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Elektronika Daya.docx;File;https://docs.google.com/document/d/1-EJFxzKr0YIINZz819Dwui6w90bQkAz2/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646137;2026-06-23T04:57:55.158Z
RPS_Tugas Akhir.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Tugas Akhir.docx;File;https://docs.google.com/document/d/1oSBU0tx-4UOa4VUHVVno16gNVFcz7Hrw/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1645487;2026-06-23T05:00:42.315Z
RPS_Kuliah Kerja Nyata (KKN).docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Kuliah Kerja Nyata (KKN).docx;File;https://docs.google.com/document/d/1vqe31ipwAndcGoCLywiAYitl1OQP6aCP/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1648122;2026-06-23T04:58:59.076Z
RPS_Teknik Perawatan dan Perbaikan Perangkat Industri.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Teknik Perawatan dan Perbaikan Perangkat Industri.docx;File;https://docs.google.com/document/d/14AFRnF6bqDfnUk-XpT6mdovwOiZNhdWy/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646702;2026-06-23T05:00:32.900Z
RPS_Rekayasa Teknik Elektro.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Rekayasa Teknik Elektro.docx;File;https://docs.google.com/document/d/1GsTRuq5lNuzCdoUCcXGJbe5VXkfwVCO_/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646515;2026-06-23T05:00:23.047Z
RPS_Praktek Kerja Lapangan (PKL).docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Praktek Kerja Lapangan (PKL).docx;File;https://docs.google.com/document/d/1JLYRQdxZAd2n-imkMLpEHKXq_XICf3PL/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1647252;2026-06-23T05:00:11.240Z
RPS_Pengolahan Citra.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Pengolahan Citra.docx;File;https://docs.google.com/document/d/1Dv61dgW7OYoWVHkJHt_ZtmhcQMRB7GNh/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646955;2026-06-23T04:59:54.378Z
RPS_Manajemen Industri.docx;AKREDITASI 2026 Batch 3/LKPS/Tabel 3.a.1) Kurikulum dan Rencana Pembelajaran/RPS/RPS/RPS_Manajemen Industri.docx;File;https://docs.google.com/document/d/1BggoOVCy__HR7zQ4LDqNVwPvHl6uoh1l/edit?usp=drivesdk&ouid=101619384140483629602&rtpof=true&sd=true;1646862;2026-06-23T04:59:09.302Z
